time_s,total_tput_Mbps,avg_tput_Mbps,min_tput_Mbps,p5_tput_Mbps,max_tput_Mbps,jfi,coverage_pct,gnb0_tilt_deg,gnb1_tilt_deg,gnb2_tilt_deg,gnb3_tilt_deg,gnb4_tilt_deg
1.5,3.432,0.3432,0.16,0.16,0.4,0.937693,0,4,6,5,7,3
2.5,7.336,0.7336,0.44,0.44,0.8,0.976835,90,4,6,5,7,3
3.5,7.584,0.7584,0.504,0.504,0.848,0.981289,100,4,6,5,7,3
4.5,7.672,0.7672,0.608,0.608,0.8,0.993917,100,4,6,5,7,3
5.5,7.392,0.7392,0.496,0.496,0.808,0.977778,90,4,2,5,7,3
6.5,7.432,0.7432,0.512,0.512,0.808,0.982705,100,4,2,5,9,3
7.5,7.272,0.7272,0.448,0.448,0.808,0.972564,90,4,2,5,9,3
8.5,7.4,0.74,0.44,0.44,0.808,0.978383,90,10,2,5,9,3
9.5,7.016,0.7016,0.44,0.44,0.808,0.962916,80,10,2,5,9,3
10.5,7.408,0.7408,0.528,0.528,0.8,0.987398,100,10,2,14,9,3
11.5,7.312,0.7312,0.496,0.496,0.816,0.982195,90,10,2,14,9,3
12.5,6.984,0.6984,0.52,0.52,0.8,0.96979,100,10,2,14,9,7
13.5,7.952,0.7952,0.712,0.712,0.888,0.99719,100,10,2,14,9,7
14.5,7.784,0.7784,0.688,0.688,0.808,0.99663,100,10,2,14,9,7
15.5,7.224,0.7224,0.512,0.512,0.8,0.981534,100,10,8,14,9,7
16.5,6.888,0.6888,0.488,0.488,0.808,0.965752,90,10,8,14,9,7
17.5,7.504,0.7504,0.584,0.584,0.848,0.987812,100,10,8,14,9,7
18.5,7.216,0.7216,0.568,0.568,0.8,0.9824,100,10,8,14,3,7
19.5,7.328,0.7328,0.568,0.568,0.8,0.986034,100,10,8,14,3,7
20.5,7.48,0.748,0.512,0.512,0.872,0.977673,100,5,8,14,3,7
21.5,7.184,0.7184,0.464,0.464,0.808,0.972204,90,5,8,14,3,7
22.5,7.424,0.7424,0.536,0.536,0.808,0.983513,100,5,8,6,3,7
23.5,6.984,0.6984,0.448,0.448,0.8,0.95554,80,5,8,6,3,7
24.5,7.56,0.756,0.448,0.448,0.912,0.970078,90,5,8,6,3,7
25.5,7.352,0.7352,0.424,0.424,0.808,0.967346,90,5,8,6,3,13
26.5,7.824,0.7824,0.632,0.632,0.8,0.995902,100,5,8,6,3,13
27.5,7.776,0.7776,0.624,0.624,0.8,0.995348,100,5,8,6,3,13
28.5,7.792,0.7792,0.576,0.576,0.824,0.99238,100,5,4,6,3,13
29.5,7.896,0.7896,0.704,0.704,0.808,0.998666,100,5,4,6,3,13
30.5,7.616,0.7616,0.48,0.48,0.808,0.984535,90,5,4,6,11,13
31.5,7.888,0.7888,0.688,0.688,0.816,0.998107,100,5,4,6,11,13
32.5,7.496,0.7496,0.552,0.552,0.808,0.983465,100,12,4,6,11,13
33.5,7.544,0.7544,0.432,0.432,0.808,0.978692,90,12,4,6,11,13
34.5,7.368,0.7368,0.432,0.432,0.8,0.973122,90,12,4,6,11,13
35.5,7.336,0.7336,0.472,0.472,0.808,0.973375,90,12,4,6,11,13
36.5,7.472,0.7472,0.408,0.408,0.888,0.968144,90,12,4,6,11,13
37.5,7.44,0.744,0.584,0.584,0.8,0.987171,100,12,4,6,11,13
38.5,7.664,0.7664,0.504,0.504,0.808,0.986779,100,12,4,6,11,13
39.5,7.848,0.7848,0.688,0.688,0.8,0.998082,100,12,4,6,11,13
